id,auswahl,texteingabe,timestamp
6,2Fa,"Ich bin eher für Blätter, auf dem Compi habe ich keinen guten Überblick",2023-08-31 19:28:56
7,2Fa,"Am Anfang fand ich es nicht so gut, jetzt habe ich mich daran gewöhnt ",2023-08-31 19:29:11
8,2Fa,"Gut aber auch nicht, weil ich dann zu oft abgelenkt werde, wenn es langweilig ist",2023-08-31 19:29:30
9,2Fa,"Gemischt, Prüfungen am Laptop gefallen mir nicht, aber der Laptop ist praktisch, um Zusammenfassungen zu schreiben oder um zum Beispiel Quizlet zu nutzen.",2023-08-31 19:29:41
10,2Fa,"Es ist sehr praktisch, kann aber auch ablenken.",2023-08-31 19:29:52
11,2Fa,"Es ist ok, es ist oft besser auf dem Laptop, da man schneller und einfacher Aufgaben bearbeiten kann",2023-08-31 19:30:04
12,2Fa,"Finde ich praktisch, jedoch bin ich kein grosser Fan davon, denn es ist alles Digital und ich liebe es auf Papier zu schreiben. ",2023-08-31 19:30:16
13,2Fa,"Der Computer ist im Vergleich zu Büchern sehr handlich. Ich arbeite gerne damit. Was ich aber nicht mag ist, wenn eine Lehrperson den Unterricht halb auf Blatt  und halb auf dem Laptop macht. Was mich ebenfalls stört ist, wenn die Lehrperson die OneNote Seiten sehr unübersichtlich macht.",2023-08-31 19:30:27
14,2Fa,"ich bin schnell abgelenkt, ich habe keine Ordnung, es ist leichter und man hat alles dabei",2023-08-31 19:30:40
15,2Fa,"Ich finde es gut weil man hat immer alles material zusammen, man kann nichts vergessen und zum lernen zuhause ist es sehr übersichtlich",2023-08-31 19:30:55
16,2Fa,"Ich finde dies sehr hilfreich weil man nicht tausende Bücher und Blätter herumschleppen muss. Ich finde es auch gut damit wir lernen mit Compis umzugehen für die Zukunft, da wir im Studium auch auf Compis arbeiten werden.",2023-08-31 19:31:16
17,2Fa,"Kurz und zwischendurch mal einen Text auf dem Computer schreiben oder so finde ich sehr abwechslungsreich, wenn wir aber die ganze Lektion dran sind dann bin ich halt nur im Internet und höre nicht zu.",2023-08-31 19:31:31
